PMID,PMCID,DOI,Title,Authors,Year,Journal,Volume,Issue,Pages,Abstract
28877994,PMC5626537,10.1083/jcb.201612125,Cadherin complexes recruit mRNAs and RISC to regulate epithelial cell signaling.,"Kourtidis A, Necela B, Lin WH, Lu R, Feathers RW, Asmann YW, Thompson EA, Anastasiadis PZ",2017,J Cell Biol,216,10,3073-3085,"Cumulative evidence demonstrates that most RNAs exhibit specific subcellular distribution. However, the mechanisms regulating this phenomenon and its functional consequences are still under investigation. Here, we reveal that cadherin complexes at the apical zonula adherens (ZA) of epithelial adherens junctions recruit the core components of the RNA-induced silencing complex (RISC) Ago2, GW182, and PABPC1, as well as a set of 522 messenger RNAs (mRNAs) and 28 mature microRNAs (miRNAs or miRs), via PLEKHA7. Top canonical pathways represented by these mRNAs include Wnt/β-catenin, TGF-β, and stem cell signaling. We specifically demonstrate the presence and silencing of MYC, JUN, and SOX2 mRNAs by miR-24 and miR-200c at the ZA. PLEKHA7 knockdown dissociates RISC from the ZA, decreases loading of the ZA-associated mRNAs and miRNAs to Ago2, and results in a corresponding increase of MYC, JUN, and SOX2 protein expression. The present work reveals a mechanism that directly links junction integrity to the silencing of a set of mRNAs that critically affect epithelial homeostasis."
23155421,PMC3498381,10.1371/journal.pone.0048875,Isolated Toll-like receptor transmembrane domains are capable of oligomerization.,"Godfroy JI, Roostan M, Moroz YS, Korendovych IV, Yin H",2012,PLoS One,7,11,e48875,"Toll-like receptors (TLRs) act as the first line of defense against bacterial and viral pathogens by initiating critical defense signals upon dimer activation. The contribution of the transmembrane domain in the dimerization and signaling process has heretofore been overlooked in favor of the extracellular and intracellular domains. As mounting evidence suggests that the transmembrane domain is a critical region in several protein families, we hypothesized that this was also the case for Toll-like receptors. Using a combined biochemical and biophysical approach, we investigated the ability of isolated Toll-like receptor transmembrane domains to interact independently of extracellular domain dimerization. Our results showed that the transmembrane domains had a preference for the native dimer partners in bacterial membranes for the entire receptor family. All TLR transmembrane domains showed strong homotypic interaction potential. The TLR2 transmembrane domain demonstrated strong heterotypic interactions in bacterial membranes with its known interaction partners, TLR1 and TLR6, as well as with a proposed interaction partner, TLR10, but not with TLR4, TLR5, or unrelated transmembrane receptors providing evidence for the specificity of TLR2 transmembrane domain interactions. Peptides for the transmembrane domains of TLR1, TLR2, and TLR6 were synthesized to further study this subfamily of receptors. These peptides validated the heterotypic interactions seen in bacterial membranes and demonstrated that the TLR2 transmembrane domain had moderately strong interactions with both TLR1 and TLR6. Combined, these results suggest a role for the transmembrane domain in Toll-like receptor oligomerization and as such, may be a novel target for further investigation of new therapeutic treatments of Toll-like receptor mediated diseases."
29309035,PMC5821459,10.7554/eLife.30094,Dissection of affinity captured LINE-1 macromolecular complexes.,"Taylor MS, Altukhov I, Molloy KR, Mita P, Jiang H, Adney EM, Wudzinska A, Badri S, Ischenko D, Eng G, Burns KH, Fenyö D, Chait BT, Alexeev D, Rout MP, Boeke JD, LaCava J",2018,Elife,7,,,"Long Interspersed Nuclear Element-1 (LINE-1, L1) is a mobile genetic element active in human genomes. L1-encoded ORF1 and ORF2 proteins bind L1 RNAs, forming ribonucleoproteins (RNPs). These RNPs interact with diverse host proteins, some repressive and others required for the L1 lifecycle. Using differential affinity purifications, quantitative mass spectrometry, and next generation RNA sequencing, we have characterized the proteins and nucleic acids associated with distinctive, enzymatically active L1 macromolecular complexes. Among them, we describe a cytoplasmic intermediate that we hypothesize to be the canonical ORF1p/ORF2p/L1-RNA-containing RNP, and we describe a nuclear population containing ORF2p, but lacking ORF1p, which likely contains host factors participating in target-primed reverse transcription."
23142980,PMC3603146,10.1038/nsmb.2435,Molecular basis for H3K36me3 recognition by the Tudor domain of PHF1.,"Musselman CA, Avvakumov N, Watanabe R, Abraham CG, Lalonde ME, Hong Z, Allen C, Roy S, Nuñez JK, Nickoloff J, Kulesza CA, Yasui A, Côté J, Kutateladze TG",2012,Nat Struct Mol Biol,19,12,1266-72,"The PHD finger protein 1 (PHF1) is essential in epigenetic regulation and genome maintenance. Here we show that the Tudor domain of human PHF1 binds to histone H3 trimethylated at Lys36 (H3K36me3). We report a 1.9-Å resolution crystal structure of the Tudor domain in complex with H3K36me3 and describe the molecular mechanism of H3K36me3 recognition using NMR. Binding of PHF1 to H3K36me3 inhibits the ability of the Polycomb PRC2 complex to methylate Lys27 of histone H3 in vitro and in vivo. Laser microirradiation data show that PHF1 is transiently recruited to DNA double-strand breaks, and PHF1 mutants impaired in the H3K36me3 interaction exhibit reduced retention at double-strand break sites. Together, our findings suggest that PHF1 can mediate deposition of the repressive H3K27me3 mark and acts as a cofactor in early DNA-damage response."
20231878,PMC2834734,10.1371/journal.pone.0009336,BAAV transcytosis requires an interaction with beta-1-4 linked- glucosamine and gp96.,"Di Pasquale G, Kaludov N, Agbandje-McKenna M, Chiorini JA",2010,PLoS One,5,3,e9336,"Cell surface carbohydrates play an important role in virus entry and intracellular trafficking. Bovine Adeno-Associated Virus (BAAV) uses plasma membrane gangliosides for transduction and infection. In addition, independent of the infectious pathway, BAAV also has the ability to pass through barrier epithelia and endothelia using a transcytosis pathway dependent upon the presence of cell surface carbohydrates. Thus, in order to better define the carbohydrate interactions that are necessary for BAAV infection or transcytosis, a glycan microarray composed of both natural and synthetic carbohydrates was probed with HA-tagged BAAV particles. This identified chitotriose, a trimer of beta-1-4-linked N-acetyl glucosamine, as having an interaction with BAAV. Competition experiments showed that the BAAV interaction with this carbohydrate is not necessary for infection but is instead important in the transcytosis pathway. The beta-1-4-linked N-acetyl glucosamine modification has been reported on gp96, a glycoprotein involved in the transcytosis of bacteria and toxins. Significantly, immunoprecipitation and competition experiments with an anti-gp96 antibody and a soluble form of gp96, respectively, showed this glycoprotein can also interact with BAAV to serve as a receptor for its transcytosis."
34782627,PMC8594428,10.1038/s41467-021-26910-8,SARS-CoV-2 inhibits induction of the MHC class I pathway by targeting the STAT1-IRF1-NLRC5 axis.,"Yoo JS, Sasaki M, Cho SX, Kasuga Y, Zhu B, Ouda R, Orba Y, de Figueiredo P, Sawa H, Kobayashi KS",2021,Nat Commun,12,1,6602,"The MHC class I-mediated antigen presentation pathway plays a critical role in antiviral immunity. Here we show that the MHC class I pathway is targeted by SARS-CoV-2. Analysis of the gene expression profile from COVID-19 patients as well as SARS-CoV-2 infected epithelial cell lines reveals that the induction of the MHC class I pathway is inhibited by SARS-CoV-2 infection. We show that NLRC5, an MHC class I transactivator, is suppressed both transcriptionally and functionally by the SARS-CoV-2 ORF6 protein, providing a mechanistic link. SARS-CoV-2 ORF6 hampers type II interferon-mediated STAT1 signaling, resulting in diminished upregulation of NLRC5 and IRF1 gene expression. Moreover, SARS-CoV-2 ORF6 inhibits NLRC5 function via blocking karyopherin complex-dependent nuclear import of NLRC5. Collectively, our study uncovers an immune evasion mechanism of SARS-CoV-2 that targets the function of key MHC class I transcriptional regulators, STAT1-IRF1-NLRC5."
30886878,PMC6404649,10.1016/j.omtm.2019.02.003,Achieving High-Yield Production of Functional AAV5 Gene Delivery Vectors via Fedbatch in an Insect Cell-One Baculovirus System.,"Joshi PRH, Cervera L, Ahmed I, Kondratov O, Zolotukhin S, Schrag J, Chahal PS, Kamen AA",2019,Mol Ther Methods Clin Dev,13,,279-289,"Despite numerous advancements in production protocols, manufacturing AAV to meet exceptionally high demand (1016-1017 viral genomes [VGs]) in late clinical stages and for eventual systemic delivery poses significant challenges. Here, we report an efficient, simple, scalable, robust AAV5 production process utilizing the most recent modification of the OneBac platform. An increase in volumetric yield of genomic particles by ∼6-fold and functional particles by ∼20-fold was achieved by operating a high-cell-density process in shake flasks and bioreactors that involves an Sf9-based rep/cap stable cell line grown at a density of about 10 million cells/mL infected with a single baculovirus. The overall volumetric yields of genomic (VG) and bioactive particles (enhanced transducing units [ETUs]) in representative fedbatch bioreactor runs ranged from 2.5 to 3.5 × 1014 VG/L and from 1 to 2 × 1011 ETU/L. Analytical ultracentrifugation analyses of affinity-purified AAV vector samples from side-by-side batch and fedbatch production runs showed vector preparations with a full and empty particle distribution of 20%-30% genomic and 70%-80% empty particles. Moreover, the stoichiometric analysis of capsid proteins from fedbatch production in shake flask and bioreactor run samples demonstrated the incorporation of higher VP1 subunits, resulting in better functionality."
34909756,PMC8661858,10.1002/mco2.92,SARS-CoV-2 spike protein harnesses SNX27-mediated endocytic recycling pathway.,"Zhao L, Zhong K, Zhao J, Yong X, Tong A, Jia D",2021,MedComm (2020),2,4,798-809,"SARS-CoV-2 is an enveloped positive-sense RNA virus that depends on host factors for all stages of its life. Membrane receptor ACE2 is a well-established factor for SARS-CoV-2 docking. In addition to ACE2, whole-genome genetic screens have identified additional proteins, such as endosomal trafficking regulators SNX27 and retromer, as key host factors required for SARS-CoV-2 infection. However, it is poorly understood how SARS-CoV-2 utilize host endocytic transport pathways to produce productive infection. Here, we report that SNX27 interacts with the SARS-CoV-2 spike (S) protein to facilitate S protein surface expression. Interestingly, S protein binds to the PDZ domain of SNX27, although it does not contain a PDZ-binding motif (PDZbm). Either abrogation of the SNX27 PDZ domain or S protein ""MTSC"" motif, which is critical for SNX27 binding, decreases surface expression of S protein and viral production. Collectively, our study highlights a novel approach utilized by SARS-CoV-2 to facilitate virion trafficking to establish virus infection."
25951186,PMC4423928,10.1371/journal.pgen.1005121,The Zinc-Finger Antiviral Protein ZAP Inhibits LINE and Alu Retrotransposition.,"Moldovan JB, Moran JV",2015,PLoS Genet,11,5,e1005121,"Long INterspersed Element-1 (LINE-1 or L1) is the only active autonomous retrotransposon in the human genome. To investigate the interplay between the L1 retrotransposition machinery and the host cell, we used co-immunoprecipitation in conjunction with liquid chromatography and tandem mass spectrometry to identify cellular proteins that interact with the L1 first open reading frame-encoded protein, ORF1p. We identified 39 ORF1p-interacting candidate proteins including the zinc-finger antiviral protein (ZAP or ZC3HAV1). Here we show that the interaction between ZAP and ORF1p requires RNA and that ZAP overexpression in HeLa cells inhibits the retrotransposition of engineered human L1 and Alu elements, an engineered mouse L1, and an engineered zebrafish LINE-2 element. Consistently, siRNA-mediated depletion of endogenous ZAP in HeLa cells led to a ~2-fold increase in human L1 retrotransposition. Fluorescence microscopy in cultured human cells demonstrated that ZAP co-localizes with L1 RNA, ORF1p, and stress granule associated proteins in cytoplasmic foci. Finally, molecular genetic and biochemical analyses indicate that ZAP reduces the accumulation of full-length L1 RNA and the L1-encoded proteins, yielding mechanistic insight about how ZAP may inhibit L1 retrotransposition. Together, these data suggest that ZAP inhibits the retrotransposition of LINE and Alu elements."
23516580,PMC3597564,10.1371/journal.pone.0058937,The E. coli effector protein NleF is a caspase inhibitor.,"Blasche S, Mörtl M, Steuber H, Siszler G, Nisa S, Schwarz F, Lavrik I, Gronewold TM, Maskos K, Donnenberg MS, Ullmann D, Uetz P, Kögl M",2013,PLoS One,8,3,e58937,"Enterohemorrhagic and enteropathogenic E. coli (EHEC and EPEC) can cause severe and potentially life-threatening infections. Their pathogenicity is mediated by at least 40 effector proteins which they inject into their host cells by a type-III secretion system leading to the subversion of several cellular pathways. However, the molecular function of several effectors remains unknown, even though they contribute to virulence. Here we show that one of them, NleF, binds to caspase-4, -8, and -9 in yeast two-hybrid, LUMIER, and direct interaction assays. NleF inhibits the catalytic activity of the caspases in vitro and in cell lysate and prevents apoptosis in HeLa and Caco-2 cells. We have solved the crystal structure of the caspase-9/NleF complex which shows that NleF uses a novel mode of caspase inhibition, involving the insertion of the carboxy-terminus of NleF into the active site of the protease. In conformance with our structural model, mutagenized NleF with truncated or elongated carboxy-termini revealed a complete loss in caspase binding and apoptosis inhibition. Evasion of apoptosis helps pathogenic E. coli and other pathogens to take over the host cell by counteracting the cell's ability to self-destruct upon infection. Recently, two other effector proteins, namely NleD and NleH, were shown to interfere with apoptosis. Even though NleF is not the only effector protein capable of apoptosis inhibition, direct inhibition of caspases by bacterial effectors has not been reported to date. Also unique so far is its mode of inhibition that resembles the one obtained for synthetic peptide-type inhibitors and as such deviates substantially from previously reported caspase-9 inhibitors such as the BIR3 domain of XIAP."
21779400,PMC3136520,10.1371/journal.pone.0022235,"Reduced cAMP, Akt activation and p65-c-Rel dimerization: mechanisms involved in the protective effects of mGluR3 agonists in cultured astrocytes.","Durand D, Carniglia L, Caruso C, Lasaga M",2011,PLoS One,6,7,e22235,"In recent decades, astrocytes have emerged as key pieces in the maintenance of normal functioning of the central nervous system. Any impairment in astroglial function can ultimately lead to generalized disturbance in the brain, thus pharmacological targets associated with prevention of astrocyte death are actually promising. Subtype 3 of metabotropic glutamate receptors (mGluR3) is present in astrocytes, its activation exerting neuroprotective roles. In fact, we have previously demonstrated that mGluR3 selective agonists prevent nitric oxide (NO)-induced astrocyte death. However, mechanisms responsible for that cytoprotective property are still subject to study. Although inhibition of adenylyl cyclase by mGluR3 activation was extensively reported, the involvement of reduced cAMP levels in the effects of mGluR3 agonists and the association between cAMP decrease and the downstream pathways activated by mGluR3 remain neglected. Thus, we studied intracellular signaling mediating anti-apoptotic actions of mGluR3 in cultured rat astrocytes exposed to NO. In the present work, we showed that the cytoprotective effect of mGluR3 agonists (LY379268 and LY404039) requires both the reduction of intracellular cAMP levels and activation of Akt, as assessed by MTT and TUNEL techniques. Moreover, dibutyryl-cAMP impairs Akt phosphorylation induced by LY404039, indicating a relationship between mGluR3-reduced cAMP levels and PI3K/Akt pathway activation. We also demonstrated, by co-immunoprecipitation followed by western-blot, that the mGluR3 agonists not only induce per se survival-linked interaction between members of the NF-κB family p65 and c-Rel, but also impede reduction of levels of p65-c-Rel dimers caused by NO, suggesting a possible anti-apoptotic role for p65-c-Rel. All together, these data suggest that mGluR3 agonists may regulate cAMP/Akt/p65-c-Rel pathway, which would contribute to the protective effect of mGluR3 against NO challenge in astrocytes. Our results widen the knowledge about mechanisms of action of mGluR3, potential targets for the treatment of neurodegenerative disorders where a pathophysiological role for NO has been established."
26824063,PMC4730846,10.1126/sciadv.1500905,Engineering a nanopore with co-chaperonin function.,"Ho CW, Van Meervelt V, Tsai KC, De Temmerman PJ, Mast J, Maglia G",2015,Sci Adv,1,11,e1500905,"The emergence of an enzymatic function can reveal functional insights and allows the engineering of biological systems with enhanced properties. We engineered an alpha hemolysin nanopore to function as GroES, a protein that, in complex with GroEL, forms a two-stroke protein-folding nanomachine. The transmembrane co-chaperonin was prepared by recombination of GroES functional elements with the nanopore, suggesting that emergent functions in molecular machines can be added bottom-up by incorporating modular elements into preexisting protein scaffolds. The binding of a single-ring version of GroEL to individual GroES nanopores prompted large changes to the unitary nanopore current, most likely reflecting the allosteric transitions of the chaperonin apical domains. One of the GroEL-induced current levels showed fast fluctuations (<1 ms), a characteristic that might be instrumental for efficient substrate encapsulation or folding. In the presence of unfolded proteins, the pattern of current transitions changed, suggesting a possible mechanism in which the free energy of adenosine triphosphate binding and hydrolysis is expended only when substrate proteins are occupied."
29611543,PMC5750471,10.1038/emm.2017.200,Intracellular trafficking of TREM2 is regulated by presenilin 1.,"Zhao Y, Li X, Huang T, Jiang LL, Tan Z, Zhang M, Cheng IH, Wang X, Bu G, Zhang YW, Wang Q, Xu H",2017,Exp Mol Med,49,12,e405,"Genetic mutations in triggering receptor expressed on myeloid cells 2 (TREM2) have been linked to a variety of neurodegenerative diseases including Alzheimer's disease, amyotrophic lateral sclerosis, frontotemporal dementia and Parkinson's disease. In the brain, TREM2 is highly expressed on the cell surface of microglia, where it can transduce signals to regulate microglial functions such as phagocytosis. To date, mechanisms underlying intracellular trafficking of TREM2 remain elusive. Mutations in the presenilin 1 (PS1) catalytic subunit of the γ-secretase complex have been associated with increased generation of the amyloidogenic Aβ (amyloid-β) 42 peptide through cleavage of the Aβ precursor amyloid precursor protein. Here we found that TREM2 interacts with PS1 in a manner independent of γ-secretase activity. Mutations in TREM2 alter its subcellular localization and affects its interaction with PS1. Upregulation of PS1 reduces, whereas downregulation of PS1 increases, steady-state levels of cell surface TREM2. Furthermore, PS1 overexpression results in attenuated phagocytic uptake of Aβ by microglia, which is reversed by TREM2 overexpression. Our data indicate a novel role for PS1 in regulating TREM2 intracellular trafficking and pathophysiological function."
34873039,PMC8685683,10.1073/pnas.2111011118,Nonmuscle myosin heavy chain IIA facilitates SARS-CoV-2 infection in human pulmonary cells.,"Chen J, Fan J, Chen Z, Zhang M, Peng H, Liu J, Ding L, Liu M, Zhao C, Zhao P, Zhang S, Zhang X, Xu J",2021,Proc Natl Acad Sci U S A,118,50,,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the causative agent of coronavirus disease 2019 (COVID-19), binds to host receptor angiotensin-converting enzyme 2 (ACE2) through its spike (S) glycoprotein, which mediates membrane fusion and viral entry. However, the expression of ACE2 is extremely low in a variety of human tissues, especially in the airways. Thus, other coreceptors and/or cofactors on the surface of host cells may contribute to SARS-CoV-2 infection. Here, we identified nonmuscle myosin heavy chain IIA (MYH9) as an important host factor for SARS-CoV-2 infection of human pulmonary cells by using APEX2 proximity-labeling techniques. Genetic ablation of MYH9 significantly reduced SARS-CoV-2 pseudovirus infection in wild type (WT) A549 and Calu-3 cells, and overexpression of MYH9 enhanced the pseudovirus infection in WT A549 and H1299 cells. MYH9 was colocalized with the SARS-CoV-2 S and directly interacted with SARS-CoV-2 S through the S2 subunit and S1-NTD (N-terminal domain) by its C-terminal domain (designated as PRA). Further experiments suggested that endosomal or myosin inhibitors effectively block the viral entry of SARS-CoV-2 into PRA-A549 cells, while transmembrane protease serine 2 (TMPRSS2) and cathepsin B and L (CatB/L) inhibitors do not, indicating that MYH9 promotes SARS-CoV-2 endocytosis and bypasses TMPRSS2 and CatB/L pathway. Finally, we demonstrated that loss of MYH9 reduces authentic SARS-CoV-2 infection in Calu-3, ACE2-A549, and ACE2-H1299 cells. Together, our results suggest that MYH9 is a candidate host factor for SARS-CoV-2, which mediates the virus entering host cells by endocytosis in an ACE2-dependent manner, and may serve as a potential target for future clinical intervention strategies."
19480662,PMC2695478,10.1186/1471-2091-10-15,A novel human NatA Nalpha-terminal acetyltransferase complex: hNaa16p-hNaa10p (hNat2-hArd1).,"Arnesen T, Gromyko D, Kagabo D, Betts MJ, Starheim KK, Varhaug JE, Anderson D, Lillehaug JR",2009,BMC Biochem,10,,15,"BACKGROUND: Protein acetylation is among the most common protein modifications. The two major types are post-translational Nepsilon-lysine acetylation catalyzed by KATs (Lysine acetyltransferases, previously named HATs (histone acetyltransferases) and co-translational Nalpha-terminal acetylation catalyzed by NATs (N-terminal acetyltransferases). The major NAT complex in yeast, NatA, is composed of the catalytic subunit Naa10p (N alpha acetyltransferase 10 protein) (Ard1p) and the auxiliary subunit Naa15p (Nat1p). The NatA complex potentially acetylates Ser-, Ala-, Thr-, Gly-, Val- and Cys- N-termini after Met-cleavage. In humans, the homologues hNaa15p (hNat1) and hNaa10p (hArd1) were demonstrated to form a stable ribosome associated NAT complex acetylating NatA type N-termini in vitro and in vivo.
RESULTS: We here describe a novel human protein, hNaa16p (hNat2), with 70% sequence identity to hNaa15p (hNat1). The gene encoding hNaa16p originates from an early vertebrate duplication event from the common ancestor of hNAA15 and hNAA16. Immunoprecipitation coupled to mass spectrometry identified both endogenous hNaa15p and hNaa16p as distinct interaction partners of hNaa10p in HEK293 cells, thus demonstrating the presence of both hNaa15p-hNaa10p and hNaa16p-hNaa10p complexes. The hNaa16p-hNaa10p complex acetylates NatA type N-termini in vitro. hNaa16p is ribosome associated, supporting its potential role in cotranslational Nalpha-terminal acetylation. hNAA16 is expressed in a variety of human cell lines, but is generally less abundant as compared to hNAA15. Specific knockdown of hNAA16 induces cell death, suggesting an essential role for hNaa16p in human cells.
CONCLUSION: At least two distinct NatA protein Nalpha-terminal acetyltransferases coexist in human cells potentially creating a more complex and flexible system for Nalpha-terminal acetylation as compared to lower eukaryotes."
31813847,PMC6963773,10.1016/j.chembiol.2019.11.007,Single-Domain Antibodies as Crystallization Chaperones to Enable Structure-Based Inhibitor Development for RBR E3 Ubiquitin Ligases.,"Tsai YI, Johansson H, Dixon D, Martin S, Chung CW, Clarkson J, House D, Rittinger K",2020,Cell Chem Biol,27,1,83-93.e9,"Protein ubiquitination plays a key role in the regulation of cellular processes, and misregulation of the ubiquitin system is linked to many diseases. So far, development of tool compounds that target enzymes of the ubiquitin system has been slow and only a few specific inhibitors are available. Here, we report the selection of single-domain antibodies (single-dAbs) based on a human scaffold that recognize the catalytic domain of HOIP, a subunit of the multi-component E3 LUBAC and member of the RBR family of E3 ligases. Some of these dAbs affect ligase activity and provide mechanistic insight into the ubiquitin transfer mechanism of different E2-conjugating enzymes. Furthermore, we show that the co-crystal structure of a HOIP RBR/dAb complex serves as a robust platform for soaking of ligands that target the active site cysteine of HOIP, thereby providing easy access to structure-based ligand design for this important class of E3 ligases."
38096901,PMC10830416,10.1038/s41586-023-06933-5,Template and target-site recognition by human LINE-1 in retrotransposition.,"Thawani A, Florez Ariza AJ, Nogales E, Collins K",2024,Nature,626,7997,186-193,"The long interspersed element-1 (LINE-1, hereafter L1) retrotransposon has generated nearly one-third of the human genome and serves as an active source of genetic diversity and human disease1. L1 spreads through a mechanism termed target-primed reverse transcription, in which the encoded enzyme (ORF2p) nicks the target DNA to prime reverse transcription of its own or non-self RNAs2. Here we purified full-length L1 ORF2p and biochemically reconstituted robust target-primed reverse transcription with template RNA and target-site DNA. We report cryo-electron microscopy structures of the complete human L1 ORF2p bound to structured template RNAs and initiating cDNA synthesis. The template polyadenosine tract is recognized in a sequence-specific manner by five distinct domains. Among them, an RNA-binding domain bends the template backbone to allow engagement of an RNA hairpin stem with the L1 ORF2p C-terminal segment. Moreover, structure and biochemical reconstitutions demonstrate an unexpected target-site requirement: L1 ORF2p relies on upstream single-stranded DNA to position the adjacent duplex in the endonuclease active site for nicking of the longer DNA strand, with a single nick generating a staggered DNA break. Our research provides insights into the mechanism of ongoing transposition in the human genome and informs the engineering of retrotransposon proteins for gene therapy."
26810492,PMC4727354,10.1186/s12885-016-2068-9,LINE-1 silencing by retinoblastoma proteins is effected through the nucleosomal and remodeling deacetylase multiprotein complex.,"Montoya-Durango DE, Ramos KA, Bojang P, Ruiz L, Ramos IN, Ramos KS",2016,BMC Cancer,16,,38,"BACKGROUND: Long Interspersed Nuclear Element-1 (L1) is an oncogenic mammalian retroelement silenced early in development via tightly controlled epigenetic mechanisms. We have previously shown that the regulatory region of human and murine L1s interact with retinoblastoma (RB) proteins to effect retroelement silencing. The present studies were conducted to identify the corepressor complex responsible for RB-mediated silencing of L1.
METHODS: Chromatin immunoprecipitation and silencing RNA technology were used to identify the repressor complex that silences L1 in human and murine cells.
RESULTS: Components of the Nucleosomal and Remodeling Deacetylase (NuRD) multiprotein complex specifically enriched the L1 5'-untranslated DNA sequence in human and murine cells. Genetic ablation of RB proteins in murine cells destabilized interactions within the NuRD macromolecular complex and mediated nuclear rearrangement of Mi2-β, an ATP-dependent helicase subunit with nucleosome remodeling activity. Depletion of Mi2-β, RbAP46 and HDAC2 reduced the repressor activity of the NuRD complex and reactivated a synthetic L1 reporter in human cells. Epigenetic reactivation of L1 in RB-null cells by DNA damage was markedly enhanced compared to wild type cells.
CONCLUSIONS: RB proteins stabilize interactions of the NuRD corepressor complex within the L1 promoter to effect L1 silencing. L1 retroelements may serve as a scaffold on which RB builds heterochromatic regions that regulate chromatin function."
21317894,PMC3512577,10.1038/nsmb.2018,Structural basis for engagement by complement factor H of C3b on a self surface.,"Morgan HP, Schmidt CQ, Guariento M, Blaum BS, Gillespie D, Herbert AP, Kavanagh D, Mertens HD, Svergun DI, Johansson CM, Uhrín D, Barlow PN, Hannan JP",2011,Nat Struct Mol Biol,18,4,463-70,"Complement factor H (FH) attenuates C3b molecules tethered by their thioester domains to self surfaces and thereby protects host tissues. Factor H is a cofactor for initial C3b proteolysis that ultimately yields a surface-attached fragment (C3d) corresponding to the thioester domain. We used NMR and X-ray crystallography to study the C3d-FH19-20 complex in atomic detail and identify glycosaminoglycan-binding residues in factor H module 20 of the C3d-FH19-20 complex. Mutagenesis justified the merging of the C3d-FH19-20 structure with an existing C3b-FH1-4 crystal structure. We concatenated the merged structure with the available FH6-8 crystal structure and new SAXS-derived FH1-4, FH8-15 and FH15-19 envelopes. The combined data are consistent with a bent-back factor H molecule that binds through its termini to two sites on one C3b molecule and simultaneously to adjacent polyanionic host-surface markers."
37023171,PMC10499050,10.1126/science.adg7883,Structure of the R2 non-LTR retrotransposon initiating target-primed reverse transcription.,"Wilkinson ME, Frangieh CJ, Macrae RK, Zhang F",2023,Science,380,6642,301-308,"Non-long terminal repeat (non-LTR) retrotransposons, or long interspersed nuclear elements (LINEs), are an abundant class of eukaryotic transposons that insert into genomes by target-primed reverse transcription (TPRT). During TPRT, a target DNA sequence is nicked and primes reverse transcription of the retrotransposon RNA. Here, we report the cryo-electron microscopy structure of the Bombyx mori R2 non-LTR retrotransposon initiating TPRT at its ribosomal DNA target. The target DNA sequence is unwound at the insertion site and recognized by an upstream motif. An extension of the reverse transcriptase (RT) domain recognizes the retrotransposon RNA and guides the 3' end into the RT active site to template reverse transcription. We used Cas9 to retarget R2 in vitro to non-native sequences, suggesting future use as a reprogrammable RNA-based gene-insertion tool."
35100360,PMC8896011,10.1093/g3journal/jkac002,ZNF146/OZF and ZNF507 target LINE-1 sequences.,"Creamer KM, Larsen EC, Lawrence JB",2022,G3 (Bethesda),12,3,,"Repetitive sequences including transposable elements and transposon-derived fragments account for nearly half of the human genome. While transposition-competent transposable elements must be repressed to maintain genomic stability, mutated and fragmented transposable elements comprising the bulk of repetitive sequences can also contribute to regulation of host gene expression and broader genome organization. Here, we analyzed published ChIP-seq data sets to identify proteins broadly enriched on transposable elements in the human genome. We show 2 of the proteins identified, C2H2 zinc finger-containing proteins ZNF146 (also known as OZF) and ZNF507, are targeted to distinct sites within LINE-1 ORF2 at thousands of locations in the genome. ZNF146 binding sites are found at old and young LINE-1 elements. In contrast, ZNF507 preferentially binds at young LINE-1 sequences correlated to sequence changes in LINE-1 elements at ZNF507's binding site. To gain further insight into ZNF146 and ZNF507 function, we disrupt their expression in HEK293 cells using CRISPR/Cas9 and perform RNA sequencing, finding modest gene expression changes in cells where ZNF507 has been disrupted. We further identify a physical interaction between ZNF507 and PRMT5, suggesting ZNF507 may target arginine methylation activity to LINE-1 sequences."
23934150,PMC3818696,10.1038/nsmb.2641,The N-terminal acetylation of Sir3 stabilizes its binding to the nucleosome core particle.,"Arnaudo N, Fernández IS, McLaughlin SH, Peak-Chew SY, Rhodes D, Martino F",2013,Nat Struct Mol Biol,20,9,1119-21,"The N-terminal acetylation of Sir3 is essential for heterochromatin establishment and maintenance in yeast, but its mechanism of action is unknown. The crystal structure of the N-terminally acetylated BAH domain of Saccharomyces cerevisiae Sir3 bound to the nucleosome core particle reveals that the N-terminal acetylation stabilizes the interaction of Sir3 with the nucleosome. Additionally, we present a new method for the production of protein-nucleosome complexes for structural analysis."
